ProductId;ProductName;ProductLifeDays
749;BK-R93R-62;365
750;BK-R93R-44;365
751;BK-R93R-48;365
752;BK-R93R-52;365
753;BK-R93R-56;365
754;BK-R68R-58;365
755;BK-R68R-60;365
756;BK-R68R-44;365
757;BK-R68R-48;365
758;BK-R68R-52;365
759;BK-R50R-58;365
760;BK-R50R-60;365
761;BK-R50R-62;365
762;BK-R50R-44;365
763;BK-R50R-48;365
764;BK-R50R-52;365
765;BK-R50B-58;365
766;BK-R50B-60;365
767;BK-R50B-62;365
768;BK-R50B-44;365
769;BK-R50B-48;365
770;BK-R50B-52;365
771;BK-M82S-38;365
749;BK-R93R-62;730
750;BK-R93R-44;730
751;BK-R93R-48;730
752;BK-R93R-52;730
753;BK-R93R-56;730
754;BK-R68R-58;730
755;BK-R68R-60;730
756;BK-R68R-44;730
757;BK-R68R-48;730
758;BK-R68R-52;730
759;BK-R50R-58;730
760;BK-R50R-60;730
761;BK-R50R-62;730
762;BK-R50R-44;730
763;BK-R50R-48;730
764;BK-R50R-52;730
765;BK-R50B-58;730
766;BK-R50B-60;730
767;BK-R50B-62;730
768;BK-R50B-44;730
769;BK-R50B-48;730
770;BK-R50B-52;730
771;BK-M82S-38;730
750;BK-R93R-44;1095
751;BK-R93R-48;1095
749;BK-R93R-62;1095
752;BK-R93R-52;1095
753;BK-R93R-56;1095
754;BK-R68R-58;1095
755;BK-R68R-60;1095
756;BK-R68R-44;1095
757;BK-R68R-48;1095
758;BK-R68R-52;1095
759;BK-R50R-58;1095
760;BK-R50R-60;1095
761;BK-R50R-62;1095
762;BK-R50R-44;1095
763;BK-R50R-48;1095
764;BK-R50R-52;1095
765;BK-R50B-58;1095
766;BK-R50B-60;1095
767;BK-R50B-62;1095
768;BK-R50B-44;1095
769;BK-R50B-48;1095
770;BK-R50B-52;1095
771;BK-M82S-38;1095
750;BK-R93R-44;1460
751;BK-R93R-48;1460
749;BK-R93R-62;1460
752;BK-R93R-52;1460
753;BK-R93R-56;1460
754;BK-R68R-58;1460
755;BK-R68R-60;1460
756;BK-R68R-44;1460
757;BK-R68R-48;1460
758;BK-R68R-52;1460
759;BK-R50R-58;1460
760;BK-R50R-60;1460
761;BK-R50R-62;1460
762;BK-R50R-44;1460
763;BK-R50R-48;1460
764;BK-R50R-52;1460
765;BK-R50B-58;1460
766;BK-R50B-60;1460
767;BK-R50B-62;1460
768;BK-R50B-44;1460
769;BK-R50B-48;1460
770;BK-R50B-52;1460
771;BK-M82S-38;1460